Metodo,TamTabela,TamDados,TempoInsercao(ms),TempoBusca(ms),Colisoes,Lista1,Lista2,Lista3,GapMin,GapMax,GapMedia
Encadeamento,100003,10000,0.040606,0.026720,537,4,3,3,1,110,10
LinearProbing,100003,10000,0.033673,0.018625,607,0,0,0,1,110,10
DoubleHashing,100003,10000,0.035607,0.032912,557,0,0,0,1,110,9
Encadeamento,100003,100000,1.400685,0.623192,50420,7,7,7,1,13,1
LinearProbing,100003,100000,37.793678,37.786949,17850445,0,0,0,2,4,3
DoubleHashing,100003,100000,3.210379,3.538386,929663,0,0,0,1,1,1
Encadeamento,100003,1000000,34.864658,30.009356,5002251,26,26,25,1,1,1
LinearProbing,100003,1000000,188419.265625,188285.656250,90017460116,0,0,0,0,0,0
DoubleHashing,100003,1000000,202109.406250,204082.109375,90003386794,0,0,0,0,0,0
